# ASCENT Golden Model Outputs v5
# L1_REQUANT_DIV=2101.08  L2_REQUANT_DIV=155.10
# Format: index  true_label  predicted  [score_0..score_9]  status
   0  7  7  [-11954 -2105 -4599 -1024 -15128 -8905 -17517 15019 -11684 -3946]  OK
   1  2  2  [-12735 5721 21691 -5136 -22375 -11704 -14403 -10153 -9028 -26443]  OK
   2  1  1  [-8227 10251 -948 -13372 -2126 -7916 -4690 -1251 -2027 -11469]  OK
   3  0  0  [17881 -14198 -160 -8469 -12262 -8532 -2033 -3136 -7566 -1464]  OK
   4  4  4  [-9973 -5412 -15672 -14149 12618 -6303 -5780 -3137 -12148 3821]  OK
   5  1  1  [-9561 11278 -5381 -15210 -111 -14532 -11009 228 -1986 -9147]  OK
   6  4  4  [-16717 -3316 -11875 -11674 13454 -7459 -13270 -4772 1319 772]  OK
   7  9  9  [-23569 -17132 -14245 2170 -16306 69 -23071 -8018 -11975 9888]  OK
   8  5  5  [-16971 -11629 -16510 -10419 -14628 15222 7238 -10395 -5662 -7244]  OK
   9  9  9  [-16117 -16439 -15752 -6957 985 -14663 -17385 -4091 -11178 15490]  OK
  10  0  0  [20669 -16004 -728 -7164 -21746 -9458 1304 -6312 -19168 -6151]  OK
  11  6  6  [2568 -11416 -8278 -15514 -3984 126 21755 -20713 -2605 -20469]  OK
  12  9  9  [-14111 -11994 -11504 -4315 -3422 -7628 -17809 -2502 -12176 14422]  OK
  13  0  0  [24698 -19853 -5830 -9825 -17522 -9454 63 -1690 -13333 -6742]  OK
  14  1  1  [-21107 9586 -8593 -12028 -4155 -8862 -9266 -6518 3903 -3756]  OK
  15  5  5  [-18541 -951 -2170 5418 -16884 14422 -9991 -6784 -4211 -10656]  OK
  16  9  9  [-3639 -12979 -10219 -4403 -8722 -11419 -10480 2165 -4196 12170]  OK
  17  7  7  [-12813 -4313 -2118 -2504 -20129 -11099 -18568 16038 -14289 -6556]  OK
  18  3  3  [-13443 -4382 -1718 9302 -11545 -7130 -12894 -6600 4270 -7023]  OK
  19  4  4  [-14178 -1295 -12035 -10981 15862 -5502 -8379 -6866 -11308 1368]  OK
  20  9  9  [-7510 -9589 -11337 -1563 -6090 -4184 -16956 2333 -8468 7808]  OK
  21  6  6  [-4833 -14327 -17493 -12449 -3404 6370 14831 -13023 -7312 -8972]  OK
  22  6  6  [283 -12041 -12518 -13080 -128 1134 19649 -9216 -7135 -18028]  OK
  23  5  5  [-24503 -12308 -14091 -6329 -23919 24639 -4352 -21253 -6703 -5446]  OK
  24  4  4  [-10334 -2101 -9308 -8938 8166 -4592 -10227 2070 -10150 3666]  OK
  25  0  0  [21574 -22231 -2647 -12020 -2870 -16724 -2826 -6023 -11665 240]  OK
  26  7  7  [-2122 -8489 -3264 -6147 -25424 -2981 -17393 9387 -10988 573]  OK
  27  4  4  [-17876 -8834 -18345 -11613 17408 -3236 -11149 -3023 -16123 641]  OK
  28  0  0  [25468 -17792 2297 -9237 -21125 -11509 -1277 -7273 -9311 -7703]  OK
  29  1  1  [-18286 9059 -7619 -8927 -2562 -5951 -8465 -5855 -681 -7264]  OK
  30  3  3  [-29067 -16033 -11156 21886 -22939 2801 -26744 -9351 -12721 -188]  OK
  31  1  1  [-15355 5659 -7632 -9966 -1822 -3346 -6148 -3744 -3658 -1162]  OK
